tau,gamma
0.010785037,0.000810426
0.010932399,0.000818373
0.011081776,0.000827054
0.011233193,0.000836467
0.011386679,0.000846608
0.011542263,0.000857469
0.011699972,0.000869036
0.011859836,0.000881284
0.012021884,0.000894182
0.012186147,0.000907688
0.012352654,0.000921754
0.012521436,0.00093633
0.012692524,0.000951363
0.01286595,0.000966811
0.013041746,0.000982641
0.013219943,0.000998841
0.013400576,0.001015418
0.013583676,0.001032403
0.013769278,0.001049851
0.013957417,0.001067836
0.014148126,0.001086442
0.014341441,0.001105762
0.014537397,0.00112588
0.01473603,0.001146865
0.014937378,0.001168761
0.015141477,0.001191582
0.015348364,0.001215311
0.015558079,0.001239899
0.015770658,0.001265271
0.015986143,0.001291338
0.016204572,0.001318003
0.016425985,0.001345174
0.016650423,0.001372772
0.016877929,0.00140074
0.017108542,0.001429048
0.017342307,0.001457693
0.017579266,0.0014867
0.017819463,0.001516114
0.018062941,0.001545998
0.018309746,0.00157642
0.018559924,0.001607451
0.01881352,0.001639153
0.019070581,0.001671573
0.019331154,0.001704748
0.019595288,0.001738697
0.019863031,0.001773423
0.020134432,0.00180892
0.020409541,0.001845172
0.02068841,0.001882155
0.020971088,0.001919841
0.02125763,0.001958202
0.021548086,0.001997204
0.021842511,0.002036818
0.022140959,0.002077015
0.022443485,0.002117773
0.022750144,0.002159071
0.023060994,0.002200898
0.023376091,0.002243247
0.023695493,0.002286119
0.02401926,0.002329521
0.02434745,0.002373466
0.024680124,0.002417971
0.025017344,0.002463058
0.025359172,0.002508752
0.02570567,0.002555075
0.026056903,0.002602043
0.026412935,0.002649664
0.026773832,0.002697933
0.027139659,0.00274683
0.027510486,0.002796321
0.027886379,0.002846358
0.028267408,0.002896884
0.028653643,0.002947834
0.029045156,0.00299914
0.029442018,0.003050735
0.029844303,0.00310255
0.030252085,0.003154524
0.030665438,0.003206598
0.031084439,0.003258721
0.031509165,0.003310851
0.031939695,0.003362955
0.032376107,0.003415009
0.032818482,0.003467
0.033266902,0.003518924
0.033721448,0.003570785
0.034182206,0.003622594
0.034649259,0.003674368
0.035122693,0.003726128
0.035602597,0.003777897
0.036089057,0.003829692
0.036582165,0.003881522
0.03708201,0.003933379
0.037588685,0.003985236
0.038102283,0.004037042
0.038622898,0.004088722
0.039150627,0.004140184
0.039685567,0.00419132
0.040227816,0.004242024
0.040777474,0.004292192
0.041334642,0.004341739
0.041899423,0.004390602
0.042471921,0.004438749
0.043052242,0.004486181
0.043640492,0.004532933
0.044236779,0.004579072
0.044841214,0.00462469
0.045453908,0.004669893
0.046074973,0.004714792
0.046704525,0.00475949
0.047342678,0.004804068
0.047989551,0.004848578
0.048645262,0.004893045
0.049309933,0.004937455
0.049983686,0.004981772
0.050666644,0.005025933
0.051358935,0.005069857
0.052060684,0.005113448
0.052772022,0.005156596
0.053493079,0.005199179
0.054223989,0.005241063
0.054964886,0.005282108
0.055715905,0.005322166
0.056477187,0.00536109
0.05724887,0.005398739
0.058031098,0.005434981
0.058824013,0.005469702
0.059627763,0.0055028
0.060442494,0.005534197
0.061268358,0.005563836
0.062105506,0.005591683
0.062954093,0.005617728
0.063814274,0.00564199
0.064686209,0.005664512
0.065570057,0.005685365
0.066465982,0.005704642
0.067374149,0.005722458
0.068294724,0.005738944
0.069227878,0.005754243
0.070173782,0.0057685
0.07113261,0.005781853
0.07210454,0.005794422
0.07308975,0.005806284
0.074088421,0.005817465
0.075100738,0.005827919
0.076126886,0.005837525
0.077167056,0.005846082
0.078221438,0.005853328
0.079290227,0.005858952
0.080373619,0.00586263
0.081471814,0.005864053
0.082585015,0.005862961
0.083713426,0.005859169
0.084857255,0.005852589
0.086016714,0.005843242
0.087192014,0.005831253
0.088383373,0.005816845
0.089591011,0.005800313
0.090815149,0.005782
0.092056014,0.005762264
0.093313833,0.005741446
0.094588839,0.005719841
0.095881266,0.005697681
0.097191352,0.005675126
0.098519338,0.005652257
0.09986547,0.005629089
0.101229995,0.00560558
0.102613164,0.00558164
0.104015232,0.005557148
0.105436458,0.005531951
0.106877103,0.005505879
0.108337432,0.005478743
0.109817714,0.005450344
0.111318223,0.005420479
0.112839234,0.005388954
0.114381027,0.005355589
0.115943887,0.005320233
0.117528102,0.005282773
0.119133962,0.005243135
0.120761764,0.005201297
0.122411808,0.005157279
0.124084398,0.005111148
0.125779841,0.005063008
0.12749845,0.005012996
0.129240542,0.004961269
0.131006437,0.004908001
